pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,spin_axis,pfx_x,pfx_z,plate_x,plate_z,sz_top,sz_bot,balls,strikes,outs_when_up,inning,inning_topbot,stand,p_throws,bat_score,fld_score,at_bat_number,pitch_number,game_pk,batter,pitcher,description,events
FF,93.5,3.24,53.82,5.29,2192,114,1.21,0.78,-0.64,2.34,3.44,1.54,0,0,0,1,Bot,L,L,0,2,6,1,745602,656941,519242,called_strike,batter still up
FF,94.8,3.3,53.99,5.32,2289,121,1.23,1.21,0.23,2.57,3.37,1.62,0,1,0,1,Bot,L,L,0,2,6,2,745602,656941,519242,hit_into_play,home_run
FF,93.7,3.43,53.88,5.23,2246,116,1.17,1.24,1.27,4.11,3.55,1.76,0,0,0,1,Bot,R,L,1,2,7,1,745602,607208,519242,ball,batter still up
FF,93.2,3.45,54.07,5.29,2186,119,1.08,1.06,0.88,2.1,3.6,1.78,1,0,0,1,Bot,R,L,1,2,7,2,745602,607208,519242,called_strike,batter still up
SL,78.3,3.54,54.4,5.11,2414,314,-1.33,-0.59,-0.65,2.17,3.44,1.71,1,1,0,1,Bot,R,L,1,2,7,3,745602,607208,519242,swinging_strike,batter still up
FF,92.5,3.35,54.04,5.44,2118,118,0.87,1.02,0.49,4.13,3.52,1.78,1,2,0,1,Bot,R,L,1,2,7,4,745602,607208,519242,ball,batter still up
FF,95.4,3.36,53.98,5.23,2169,109,0.95,0.96,0.59,2.52,3.44,1.71,2,2,0,1,Bot,R,L,1,2,7,5,745602,607208,519242,swinging_strike,strikeout
FF,95.0,3.47,54.13,5.36,2237,116,1.11,0.73,0.99,3.68,3.61,1.55,0,0,1,1,Bot,R,L,1,2,8,1,745602,664761,519242,ball,batter still up
SL,80.3,3.27,54.2,5.18,2435,314,-0.92,-0.48,-0.55,2.2,3.57,1.62,1,0,1,1,Bot,R,L,1,2,8,2,745602,664761,519242,hit_into_play,field_out
SL,78.4,3.36,54.32,5.11,2428,312,-1.15,-0.6,-0.25,1.38,3.57,1.54,0,0,2,1,Bot,R,L,1,2,9,1,745602,592663,519242,ball,batter still up
SL,78.6,3.44,54.31,5.19,2414,312,-1.12,-0.55,0.14,2.11,3.56,1.59,1,0,2,1,Bot,R,L,1,2,9,2,745602,592663,519242,called_strike,batter still up
FF,94.6,3.37,54.01,5.22,2187,124,1.2,0.79,0.9,3.31,3.7,1.75,1,1,2,1,Bot,R,L,1,2,9,3,745602,592663,519242,foul,batter still up
FF,95.2,3.23,54.06,5.53,2187,118,1.03,0.97,0.8,3.43,3.7,1.75,1,2,2,1,Bot,R,L,1,2,9,4,745602,592663,519242,hit_into_play,field_out
FF,93.6,3.22,53.95,5.35,2318,116,1.52,0.96,0.12,3.8,3.69,1.75,0,0,0,2,Bot,R,L,1,2,13,1,745602,592206,519242,ball,batter still up
FF,94.7,3.22,53.82,5.26,2263,120,1.32,0.94,-0.86,3.1,3.74,1.82,1,0,0,2,Bot,R,L,1,2,13,2,745602,592206,519242,ball,batter still up
SI,93.3,3.32,53.84,5.0,2130,111,1.51,-0.05,-1.49,2.39,3.69,1.78,2,0,0,2,Bot,R,L,1,2,13,3,745602,592206,519242,ball,batter still up
FF,93.3,3.4,54.2,5.26,2211,111,1.15,1.01,0.47,2.18,3.82,1.9,3,0,0,2,Bot,R,L,1,2,13,4,745602,592206,519242,called_strike,batter still up
CH,87.9,3.38,53.97,5.05,1865,100,1.22,0.24,-1.54,2.58,3.72,1.87,3,1,0,2,Bot,R,L,1,2,13,5,745602,592206,519242,ball,walk
FF,95.6,3.41,54.14,5.28,2343,117,1.52,0.73,0.71,2.71,3.35,1.54,0,0,0,2,Bot,R,L,1,2,14,1,745602,593160,519242,called_strike,batter still up
SL,79.4,3.44,54.26,5.05,2474,298,-1.34,-0.42,-0.01,1.49,3.3,1.55,0,1,0,2,Bot,R,L,1,2,14,2,745602,593160,519242,foul,batter still up
SL,80.5,3.4,54.33,5.25,2366,315,-1.17,-0.32,0.56,1.54,3.3,1.55,0,2,0,2,Bot,R,L,1,2,14,3,745602,593160,519242,hit_into_play,single
FF,95.9,3.35,54.01,5.21,2261,117,1.26,0.66,0.42,2.96,3.62,1.67,0,0,0,2,Bot,R,L,1,2,15,1,745602,624641,519242,called_strike,batter still up
FF,94.5,3.23,53.96,5.23,2294,111,1.25,0.97,-0.75,3.41,3.57,1.65,0,1,0,2,Bot,R,L,1,2,15,2,745602,624641,519242,ball,batter still up
FF,95.0,3.42,53.94,5.1,2251,106,1.17,1.0,0.3,2.75,3.29,1.55,1,1,0,2,Bot,R,L,1,2,15,3,745602,624641,519242,foul,batter still up
SL,81.7,3.34,54.24,5.29,2475,321,-1.11,-0.35,-0.28,1.46,3.29,1.55,1,2,0,2,Bot,R,L,1,2,15,4,745602,624641,519242,hit_into_play,field_out
FF,95.7,3.39,53.97,5.23,2189,119,1.16,0.99,0.54,4.33,3.61,1.61,0,0,1,2,Bot,R,L,1,2,16,1,745602,665506,519242,ball,batter still up
SL,79.2,3.39,54.29,5.33,2390,316,-1.17,-0.46,0.05,1.52,3.5,1.62,1,0,1,2,Bot,R,L,1,2,16,2,745602,665506,519242,swinging_strike,batter still up
FF,96.3,3.35,53.99,5.29,2332,114,1.41,0.88,1.45,3.01,3.5,1.62,1,1,1,2,Bot,R,L,1,2,16,3,745602,665506,519242,swinging_strike,batter still up
SL,81.9,3.3,54.19,5.23,2559,319,-1.04,-0.4,-0.39,1.16,3.5,1.62,1,2,1,2,Bot,R,L,1,2,16,4,745602,665506,519242,swinging_strike,strikeout
SL,80.5,3.44,54.21,5.19,2421,309,-0.81,-0.75,0.26,1.84,3.46,1.6,0,0,2,2,Bot,R,L,1,2,17,1,745602,679032,519242,called_strike,batter still up
FF,96.1,3.34,53.96,5.35,2290,112,0.73,1.02,0.36,3.53,3.39,1.62,0,1,2,2,Bot,R,L,1,2,17,2,745602,679032,519242,foul,batter still up
FF,95.8,3.13,54.06,5.57,2330,121,1.32,0.87,-0.44,3.67,3.39,1.62,0,2,2,2,Bot,R,L,1,2,17,3,745602,679032,519242,swinging_strike,strikeout
SL,76.9,3.2,54.23,5.19,2293,309,-1.04,-0.4,0.36,1.83,3.18,1.61,0,0,0,3,Bot,L,L,1,2,21,1,745602,656941,519242,called_strike,batter still up
SL,80.4,3.26,54.26,5.21,2361,320,-1.63,-0.48,-1.67,2.21,3.33,1.49,0,1,0,3,Bot,L,L,1,2,21,2,745602,656941,519242,ball,batter still up
SL,79.8,3.3,54.33,5.21,2250,311,-1.41,-0.74,0.4,2.3,3.37,1.62,1,1,0,3,Bot,L,L,1,2,21,3,745602,656941,519242,foul,batter still up
FF,95.8,3.07,53.85,5.57,2137,121,1.07,0.78,-0.45,3.3,3.35,1.58,1,2,0,3,Bot,L,L,1,2,21,4,745602,656941,519242,called_strike,strikeout
FF,95.9,3.15,53.95,5.27,2097,118,1.03,0.73,0.53,2.4,3.44,1.71,0,0,1,3,Bot,R,L,1,2,22,1,745602,607208,519242,foul,batter still up
FF,94.2,3.27,53.96,5.24,2236,112,1.04,1.2,-0.42,3.16,3.44,1.71,0,1,1,3,Bot,R,L,1,2,22,2,745602,607208,519242,foul,batter still up
SL,82.2,3.22,54.13,5.23,2417,327,-0.77,-0.33,-0.69,-0.1,3.37,1.69,0,2,1,3,Bot,R,L,1,2,22,3,745602,607208,519242,ball,batter still up
SL,81.2,3.22,54.24,5.22,2416,313,-1.08,-0.52,-0.51,1.96,3.44,1.71,1,2,1,3,Bot,R,L,1,2,22,4,745602,607208,519242,hit_into_play,field_out
FF,97.0,3.36,53.98,5.24,2294,110,1.19,0.74,0.72,3.21,3.57,1.62,0,0,2,3,Bot,R,L,1,2,23,1,745602,664761,519242,foul,batter still up
FF,96.4,3.16,53.96,5.63,2281,120,1.08,1.18,0.83,4.41,3.59,1.65,0,1,2,3,Bot,R,L,1,2,23,2,745602,664761,519242,ball,batter still up
SL,80.2,3.22,54.23,5.21,2354,317,-0.98,-0.61,0.16,1.93,3.57,1.62,1,1,2,3,Bot,R,L,1,2,23,3,745602,664761,519242,foul,batter still up
FF,95.7,3.16,54.05,5.51,2214,121,1.11,0.92,1.51,3.04,3.66,1.64,1,2,2,3,Bot,R,L,1,2,23,4,745602,664761,519242,ball,batter still up
FF,96.2,3.23,53.93,5.17,2143,115,1.17,0.61,-0.11,2.57,3.49,1.58,2,2,2,3,Bot,R,L,1,2,23,5,745602,664761,519242,called_strike,strikeout
SL,74.7,3.2,54.56,5.24,2164,312,-1.33,-0.46,0.44,2.38,3.54,1.54,0,0,0,4,Bot,R,L,1,3,28,1,745602,592663,519242,called_strike,batter still up
