pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,spin_axis,pfx_x,pfx_z,plate_x,plate_z,sz_top,sz_bot,balls,strikes,outs_when_up,inning,inning_topbot,stand,p_throws,bat_score,fld_score,at_bat_number,pitch_number,game_pk,batter,pitcher,description,events
FF,95.7,1.64,54.13,6.47,2228.775347912525,147.88767395626243,0.71,1.47,-0.85,3.61,3.31,1.54,0,0,0,1,Bot,L,L,0,0,4,1,746821,643217,669373,ball,batter still up
SI,94.5,1.95,54.13,6.3,2117.5396341463415,146.0579268292683,1.41,1.05,0.5,2.61,3.27,1.51,1,0,0,1,Bot,L,L,0,0,4,2,746821,643217,669373,foul,batter still up
SL,86.4,1.89,54.13,6.38,2108.2866817155755,164.6117381489842,-0.12,0.48,-0.99,2.63,3.35,1.53,1,1,0,1,Bot,L,L,0,0,4,3,746821,643217,669373,ball,batter still up
FF,96.1,1.81,54.14,6.36,2228.775347912525,147.88767395626243,0.54,1.46,-0.43,2.47,3.27,1.51,2,1,0,1,Bot,L,L,0,0,4,4,746821,643217,669373,swinging_strike,batter still up
FF,98.0,1.81,54.13,6.33,2228.775347912525,147.88767395626243,0.81,1.38,0.33,3.01,3.27,1.51,2,2,0,1,Bot,L,L,0,0,4,5,746821,643217,669373,foul,batter still up
SI,96.4,1.93,54.13,6.24,2117.5396341463415,146.0579268292683,1.41,1.14,0.47,3.97,3.27,1.51,2,2,0,1,Bot,L,L,0,0,4,6,746821,643217,669373,foul,batter still up
SL,87.6,2.1,54.13,6.26,2108.2866817155755,164.6117381489842,-0.26,0.35,-1.05,1.2,3.27,1.51,2,2,0,1,Bot,L,L,0,0,4,7,746821,643217,669373,swinging_strike,strikeout
FF,97.4,1.75,54.13,6.4,2228.775347912525,147.88767395626243,0.5,1.26,0.08,3.53,3.31,1.47,0,0,1,1,Bot,R,L,0,0,5,1,746821,660162,669373,hit_into_play,field_out
CH,86.0,1.77,54.13,6.32,1690.7207100591716,129.35976331360948,1.19,0.68,-0.38,2.81,3.78,1.78,0,0,2,1,Bot,R,L,0,0,6,1,746821,673357,669373,called_strike,batter still up
CH,86.0,1.61,54.13,6.36,1690.7207100591716,129.35976331360948,1.28,0.36,-0.12,2.04,3.74,1.77,0,1,2,1,Bot,R,L,0,0,6,2,746821,673357,669373,hit_into_play,single
FF,95.7,1.74,54.13,6.34,2228.775347912525,147.88767395626243,0.72,1.53,0.01,3.64,3.41,1.64,0,0,2,1,Bot,R,L,0,0,7,1,746821,650391,669373,foul_tip,batter still up
SI,94.9,1.74,54.13,6.36,2117.5396341463415,146.0579268292683,1.23,0.84,-1.08,4.27,3.65,1.72,0,1,2,1,Bot,R,L,0,0,7,2,746821,650391,669373,ball,batter still up
CH,84.5,1.57,54.13,6.39,1690.7207100591716,129.35976331360948,1.41,0.55,-0.09,1.58,3.55,1.72,1,1,2,1,Bot,R,L,0,0,7,3,746821,650391,669373,ball,batter still up
FF,96.3,1.73,54.13,6.41,2228.775347912525,147.88767395626243,0.56,1.73,-0.9,3.94,3.41,1.64,2,1,2,1,Bot,R,L,0,0,7,4,746821,650391,669373,hit_into_play,field_out
